[NPM1]_WT,[NPM1]_Halo,[NPM1]_NFAST,[NPM1]_CFAST,Gamma,GVR
0.0,0.25,0.7,0.05,0.5,0.472
0.0,0.25,0.7,0.05,1.0,0.943
0.0,0.25,0.7,0.05,2.0,1.887
0.0,0.25,0.7,0.05,4.0,3.773
0.0,0.25,0.75,0.0,0.25,0.0
0.0,0.25,0.75,0.0,0.5,0.0
0.0,0.25,0.75,0.0,1.0,0.0
0.0,0.25,0.75,0.0,2.0,0.0
0.0,0.25,0.75,0.0,4.0,0.0
0.0,0.3,0.0,0.7,0.25,0.0
0.0,0.3,0.0,0.7,0.5,0.0
0.0,0.3,0.0,0.7,1.0,0.0
0.0,0.3,0.0,0.7,2.0,0.0
0.0,0.3,0.0,0.7,4.0,0.0
0.0,0.3,0.05,0.65,0.25,0.231
0.0,0.3,0.05,0.65,0.5,0.462
0.0,0.3,0.05,0.65,1.0,0.925
0.0,0.3,0.05,0.65,2.0,1.849
0.0,0.3,0.05,0.65,4.0,3.699
0.0,0.3,0.1,0.6,0.25,0.435
0.0,0.3,0.1,0.6,0.5,0.87
0.0,0.3,0.1,0.6,1.0,1.74
0.0,0.3,0.1,0.6,2.0,3.48
0.0,0.3,0.1,0.6,4.0,6.96
0.0,0.3,0.15,0.55,0.25,0.607
0.0,0.3,0.15,0.55,0.5,1.215
0.0,0.3,0.15,0.55,1.0,2.43
0.0,0.3,0.15,0.55,2.0,4.859
0.0,0.3,0.15,0.55,4.0,9.719
0.0,0.3,0.2,0.5,0.25,0.745
0.0,0.3,0.2,0.5,0.5,1.49
0.0,0.3,0.2,0.5,1.0,2.98
0.0,0.3,0.2,0.5,2.0,5.96
0.0,0.3,0.2,0.5,4.0,11.92
0.0,0.3,0.25,0.45,0.25,0.845
0.0,0.3,0.25,0.45,0.5,1.69
0.0,0.3,0.25,0.45,1.0,3.381
0.0,0.3,0.25,0.45,2.0,6.761
0.0,0.3,0.25,0.45,4.0,13.522
